"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"37 57219489146 (i) on (i)","Islam, K. M.Baharul  Baharul Islam, K. M.","5","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"38 57215427803 (i) on (i)","Manchanda, Mohit","5","4","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"39 57210961519 (i) on (i)","Sharma, Mayank","5","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"40 57218200408 (i) on (i)","Bhuyan, Atanu  Bhuyan, A.","4","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"41 57208644069 (i) on (i)","Kaushik, Vineet","4","4","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"42 57222732816 (i) on (i)","Gupta, Rajesh","3","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"43 57216181936 (i) on (i)","Jois, Achutha","3","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"44 57847143200 (i) on (i)","Kumar, Suraj","3","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"45 57195136994 (i) on (i)","Maheshwari, Mridul","3","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"46 56673762600 (i) on (i)","Maiti, Abhradeep","3","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"47 57222060102 (i) on (i)","Mewafarosh, Rekha","3","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"48 57210583824 (i) on (i)","Mondal, Jalaluddin","3","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"49 57221919251 (i) on (i)","Qamar, Yusra","3","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"50 57216900186 (i) on (i)","Sahu, Aditya Kumar","3","3","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"51 57213157626 (i) on (i)","Samal, Arbind","3","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"52 57215925793 (i) on (i)","Sengupta, Mayuree","3","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"53 57193241853 (i) on (i)","Sharma, Vinay Kumar  Sharma, Vinay","3","3","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"54 57202266562 (i) on (i)","Trehan, Deepak","3","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"55 57660409700 (i) on (i)","Ambatipudi, Vamsidhar","2","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"56 57372637200 (i) on (i)","Dharap, Oshin","2","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"57 57549424500 (i) on (i)","Islam, Kazi Maruful Bahrul  Islam, K. M.Bahrul   Islam, Kazi Maruful","2","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"58 57205060890 (i) on (i)","Jain, Aman","2","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"59 57207997797 (i) on (i)","Khan, Asif","2","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"60 57211378427 (i) on (i)","Kiran, B. S.","2","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"61 57217043045 (i) on (i)","Omanwar, Sunil P.  Omanwar, Sunil","2","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"62 57216182252 (i) on (i)","Pallasena, Ramnath Krishnan","2","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"63 57210962229 (i) on (i)","Pathak, Sunil","2","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"64 57211447021 (i) on (i)","Perannagari, Krishna Teja","2","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"65 57223988001 (i) on (i)","Rangaswamy, Uma Shankar","2","2","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"66 57221542704 (i) on (i)","Singh, Avinash Kumar","2","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"67 57217846656 (i) on (i)","Singh, Vipin Prakash","2","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"68 57365662500 (i) on (i)","Tripathy, Asit","2","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"69 57204940273 (i) on (i)","Ture, Rameshwar Shivadas","2","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"70 57210969794 (i) on (i)","Yadav, Rahul","2","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"71 57193237020 (i) on (i)","Agrawal, Aarti","1","1","Indian Institute of Management Kashipur","Udham Singh Nagar","India"
"","View last title","","","",""
"","","","","","",""
"72 57222601574 (i) on (i)","Al, Asgar","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"73 57370338000 (i) on (i)","Badola, Ashish","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"74 57897013700 (i) on (i)","Bedi, Jatinder","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"75 57737721500 (i) on (i)","Bhattacharyya, Malay","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"76 57215492823 (i) on (i)","Chadha, Vijay","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"77 57219911630 (i) on (i)","Choubey, Sachin","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"78 57211857636 (i) on (i)","Choudhury, Shyam Sundar","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"79 57874109600 (i) on (i)","Das, Jhilmil","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"80 57640521200 (i) on (i)","Ghosh, Aruni","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"81 57224973609 (i) on (i)","Guha, Atulan","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"82 57731760600 (i) on (i)","Guha, Atulan","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"83 57209931808 (i) on (i)","Gupta, Nakul","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"84 57218828922 (i) on (i)","Gupta, Rajesh","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"85 57732018000 (i) on (i)","Gupta, Rajneesh","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"86 57731760500 (i) on (i)","Kaler, Anshuman","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"87 57385779200 (i) on (i)","Kamble, Rahul","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"88 57467613500 (i) on (i)","Kaur, Prabjot","1","1","Uttarakhand Technical University","Dehradun","India"
"","View last title","","","",""
"","","","","","",""
"89 57462982400 (i) on (i)","Khemani, Purnima","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"90 57211891200 (i) on (i)","Kumar, Ashish","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"91 57223696583 (i) on (i)","Kumar, Atul","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"92 57224720765 (i) on (i)","Kumar, Gaurav","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"93 57619301400 (i) on (i)","Kumar, Harish","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"94 57465981500 (i) on (i)","Kunal","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"95 57838315700 (i) on (i)","Mahajan, Anuroopa","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"96 57208566903 (i) on (i)","Mitra, Archan","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"97 57755731200 (i) on (i)","Narang, Amandeep Singh","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"98 57219307030 (i) on (i)","Pandey, Aman","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"99 57765176200 (i) on (i)","Raman, A. V.","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"100 57204196901 (i) on (i)","Rastogi, Subhash","1","1","Indian Institute of Management Kashipur","Udham Singh Nagar","India"
"","View last title","","","",""
"","","","","","",""
"101 57215360697 (i) on (i)","Samarjeet, Smarak","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"102 57649788600 (i) on (i)","Sharma, H.","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"103 57873642200 (i) on (i)","Shiljas, K.","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"104 57217070748 (i) on (i)","Sindhu, Pranay","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"105 57224672406 (i) on (i)","Singh, Harmanjit","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"106 57008815500 (i) on (i)","Sinha, Gautam","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"107 57236753300 (i) on (i)","Taneja, Bharat","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"108 57487890900 (i) on (i)","Tewari, Shobha","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"109 57226107858 (i) on (i)","Thangavelu, Manisekaran","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"110 57215497487 (i) on (i)","Upadhyay, Anupam","1","0","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"111 57525224700 (i) on (i)","Venkataraman, Anuratha","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"112 57410155100 (i) on (i)","Yadav, Abhishek","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
"113 57638244400 (i) on (i)","Yadav, Abhishek","1","1","Indian Institute of Management Kashipur","Kashipur","India"
"","View last title","","","",""
"","","","","","",""
