"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"38 57210841407 (i) on (i)","Irum, Ayesha","4","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"39 57226386251 (i) on (i)","Katiyar, Neha","4","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"40 57209731525 (i) on (i)","Tiwari, Ashu","4","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"41 57195359138 (i) on (i)","Ahuja, Deepti","3","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"42 56490625100 (i) on (i)","Anand, Oshin","3","3","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"43 56677378800 (i) on (i)","Biswas, Malay Sankar  Biswas, Malay","3","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"44 57221012680 (i) on (i)","Gupta, Ashish Kumar  Gupta, Ashish K.   Gupta, Ashish","3","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"45 57209097576 (i) on (i)","Kaur, Baljit","3","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"46 57223141904 (i) on (i)","Mandal, Madhu","3","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"47 57209582236 (i) on (i)","Mohil, Soniya","3","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"48 57200795875 (i) on (i)","Mondal, Rima","3","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"49 57215597292 (i) on (i)","Patky, Jahnavi","3","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"50 57204939761 (i) on (i)","Singh, Shaili","3","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"51 57209604210 (i) on (i)","Ahalawat, Shweta","2","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"52 57211851269 (i) on (i)","Arun, T. M.  TM, Arun   Arun, T. M.","2","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"53 57211463580 (i) on (i)","Bhaduri, Korak","2","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"54 57254956100 (i) on (i)","Bhasin, Ashish","2","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"55 57202834498 (i) on (i)","Ezhil Kumar, Madhumitha  Madhumitha, E.","2","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"56 57221588210 (i) on (i)","Jain, Ankur","2","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"57 57211433204 (i) on (i)","Jain, Deepika","2","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"58 57222166009 (i) on (i)","Mojumder, Abhishek","2","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"59 57209569901 (i) on (i)","Ranjan, Sushant","2","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"60 57697277500 (i) on (i)","Rathore, Himanshu","2","2","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"61 57221912195 (i) on (i)","Sinha, Sweta","2","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"62 57208815932 (i) on (i)","Yadav, Ritu","2","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"63 56685728300 (i) on (i)","Achtani, Dhiren","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"64 57226792463 (i) on (i)","Agarwal, Anjali","1","1","The Institute of Chartered Accountants of India","New Delhi","India"
"","View last title","","","",""
"","","","","","",""
"65 57211462258 (i) on (i)","Awasthi, Gaurav","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"66 57225177452 (i) on (i)","Bhattacharjee, Somraj","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"67 57394556000 (i) on (i)","Chintalapati, Srikrishna","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"68 57214490705 (i) on (i)","Das, Avisek","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"69 56925041800 (i) on (i)","Goyal, Tanuj","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"70 57676730200 (i) on (i)","Joshi, S.","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"71 56805177600 (i) on (i)","Kalelkar, Gaurav R.","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"72 57224123393 (i) on (i)","Kaur, Baljit","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"73 56685069000 (i) on (i)","Khattar, Manish","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"74 57223667596 (i) on (i)","Kulshrestha, Ankur","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"75 57374087000 (i) on (i)","Kumar, Madhumitha Ezhil","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"76 57226476025 (i) on (i)","Kumar, Manoj","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"77 57222660314 (i) on (i)","Kumar, Surender","1","0","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"78 56805265200 (i) on (i)","Kumbhare, Gaurav","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
"79 56804441600 (i) on (i)","Mehta, Varun","1","1","Indian Institute of Management Rohtak","Rohtak","India"
"","View last title","","","",""
"","","","","","",""
