"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"33 56489789000 (i) on (i)","Bhattacharya, Rajesh  Bhattacharyya, Rajesh","16","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"34 22949950500 (i) on (i)","Chakravarty, Surajit","16","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"35 16548960200 (i) on (i)","Chaudhuri, Sudip","16","8","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"36 23395641500 (i) on (i)","Choudhury, Koushiki","16","9","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"37 55498577000 (i) on (i)","Mehta, Ritu","16","6","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"38 55366647600 (i) on (i)","Vijay, Devi","16","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"39 55308742700 (i) on (i)","Basu, Preetam  Basu, P.","15","10","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"40 56564875000 (i) on (i)","Maity, Samir","15","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"41 7404661836 (i) on (i)","Rao, Purba H.  Rao, Purba","15","10","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"42 57212689583 (i) on (i)","Sarkar, Runa  Sarka, Runa","15","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"43 35192067600 (i) on (i)","Mehta, Peeyush","14","8","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"44 56102738000 (i) on (i)","Syamala, Sudhakara Reddy  Syamala, Sudhakar Reddy","14","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"45 7102696809 (i) on (i)","Vaidya, Sanjiv D.  Vaidya, Sanjiv","14","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"46 36695776800 (i) on (i)","Chakraborty, Tanika","13","6","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"47 36247140600 (i) on (i)","Datta, Partha Priya  Datta, Partha P.   Datta, Partha   Datta, P.","13","9","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"48 56502002000 (i) on (i)","Jaikumar, Saravana","13","6","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"49 56251661100 (i) on (i)","Mahanti, Ambuj","13","4","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"50 36932738900 (i) on (i)","More, Dileep S.  More, Dileep","13","9","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"51 7004410778 (i) on (i)","Basak, J.  Basak, Jayanta","12","3","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"52 35463578200 (i) on (i)","Basu, Sujit K.  Basu, S. K.","12","6","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"53 55481987200 (i) on (i)","Chakrabarti, Bhaskar","12","3","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"54 57207539125 (i) on (i)","Purkayastha, Saptarshi","12","6","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"55 7005516208 (i) on (i)","Sikdar, Soumyen","12","3","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"56 23002214700 (i) on (i)","Srivastava, Bharatendu Nath  Srivastava, Bharatendu N.   Srivastava, B. N.","12","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"57 56195188500 (i) on (i)","Chakraborty, Soumyakanti","11","4","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"58 56350398800 (i) on (i)","Chatterjee, Leena","11","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"59 56677747700 (i) on (i)","Bathini, Dharma Raju","10","4","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"60 55355874200 (i) on (i)","Chatterjee, Debabrata  Chatterjee, Debrabata","10","5","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"61 57196806693 (i) on (i)","Munshi, Surendra","10","2","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"62 56423374200 (i) on (i)","Nag, Bodhibrata  Nag, B.","10","3","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
"63 55289546700 (i) on (i)","Sau, Ranjit Kumar  Sau, Ranjit   SAU, RANJIT K.   Sau, Ranjit K.","10","2","Indian Institute of Management Calcutta","Kolkata","India"
"","View last title","","","",""
"","","","","","",""
