Author,Documents,h-index,Affiliation,City,Country/Territory
"Pavan Kumar, Govind V.  Kumar, G. V.Pavan   Kumar, G. V.P.   PavanKumar, G. V.   Kumar, G. V.Pawan   Kumar, Govind   Pavan Kumar, G. V.",84.0,21.0,Indian Institute of Technology Delhi,New Delhi,India
"Verma, Anil  Verma, A.",84.0,22.0,AVATT Technologies Private Limited,New Delhi,India
"Bhaskarwar, Ashok N.  Bhaskarwar, Ashok   Bhaskarwar, A. N.",83.0,16.0,Indian Institute of Technology Delhi,New Delhi,India
"Sheikh, Javed  Sheikh, Javed Nabibaksha   Sheikh, J.   Sheikha, Javed   Sheikh, Javed N.",83.0,17.0,Indian Institute of Technology Delhi,New Delhi,India
"Dhir, Sanjay",82.0,20.0,Indian Institute of Technology Delhi,New Delhi,India
"Dixit, Abhishek  DIxit, Abhishek   Dixit, A.",82.0,14.0,Indian Institute of Technology Delhi,New Delhi,India
"Shukla, Aniruddha K.  Shukla, A. K.",82.0,20.0,Indian Institute of Technology Delhi,New Delhi,India
"Bhatnagar, Mukesh Chander  Bhatnagar, Mukesh Chandra   Bhatnagar, M.   Bhatnagar, Mukesh   Bhatnagar, M. C.   Bhatnagar, Mukesh C.",81.0,22.0,Indian Institute of Technology Delhi,New Delhi,India
"Bhattacharya, Saswata  Bhattacharya, S.",81.0,20.0,Indian Institute of Technology Delhi,New Delhi,India
"Haider, M. Ali  Haider, M. ALI   Haider, Mohammad Ali   Haider, M. Ali   Haider, M. A.   Haider, Mohammad A.",81.0,22.0,Indian Institute of Technology Delhi,New Delhi,India
"Kumar, Ajit  Kumar, A.",81.0,15.0,Indian Institute of Technology Delhi,New Delhi,India
"Suri, Manan  Suri, M.",81.0,13.0,Indian Institute of Technology Delhi,New Delhi,India
"Tuli, Suneet  Tuli, Saneet   Tuli, S.",81.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Banwet, Devinder Kumar  Banwet, Devinder K.   Banwet, D. K.",80.0,26.0,Indian Institute of Technology Delhi,New Delhi,India
"Elias, Anil Jacob  Elias, A. J.   Elias, Anil J.",80.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Hari, Pramod Kumar  Hari, P. K.",80.0,14.0,ENSAIT Ecole Nationale Supérieure des Arts et Industries Textiles,Roubaix,France
"Komarala, Vamsi Krishna  Komarala, V. K.   Krishna, K. Vamsi   Vamsi, K. K.   Komarala, Vamsi K.   Krishna, Vamsi   Vamsi Krishna, K.",80.0,22.0,Indian Institute of Technology Delhi,New Delhi,India
"Soni, Rajeev Kant  Soni, Rajeev   Soni, Ravi Kant   Soni, Ravi K.   Soni, R.   Soni, R. K.",80.0,15.0,Indian Institute of Technology Delhi,New Delhi,India
"Dey, Chinmoy Sankar  Dey, C.   Dey, Chinmoy S.   Dey, C. S.",79.0,24.0,Indian Institute of Technology Delhi,New Delhi,India
"Krishnan, N. M.Anoop  Anoop Krishnan, N. M.   Krishnan, N. M.Anoop   Krishnan, Naduvath Mana Anoop   Krishnan, N. M.A.",79.0,21.0,Indian Institute of Technology Delhi,New Delhi,India
"Reddy, Gade Brahmaiah  Reddy, Gade B.   Reddy, G. B.",79.0,20.0,Indian Institute of Technology Delhi,New Delhi,India
"Singh, Satinder Paul  Singh, Satinder P.   Singh, S. P.",79.0,20.0,Indian Institute of Technology Delhi,New Delhi,India
"Subramanian, K. A.",79.0,33.0,Indian Institute of Technology Delhi,New Delhi,India
"Gandhi, Om Parkash  Gandhi, O. P.",78.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Krishnaswamy, Dilip  Krishnaswamy, D.   Krishnawamy, Dilip",78.0,12.0,Indian Institute of Technology Delhi,New Delhi,India
"Mehra, Aparna  Mehra, A.",78.0,16.0,Indian Institute of Technology Delhi,New Delhi,India
"Mehra, Mani  Mehra, M.",78.0,15.0,Indian Institute of Technology Delhi,New Delhi,India
"Mukherjea, Sougata  Mukherjea, S.",78.0,21.0,Indian Institute of Technology Delhi,New Delhi,India
"Nand Gosvami, Nitya  Gosvami, N.   Gosvami, Nitya Nand   Gosvami, N. N.   Gosvami, Nitya N.   Gosvami, Nitya Nanda",78.0,20.0,Indian Institute of Technology Delhi,New Delhi,India
"Tripathi, B. B.",78.0,12.0,Indian Institute of Technology Delhi,New Delhi,India
"Das, Anandarup  Das, A.",77.0,15.0,Indian Institute of Technology Delhi,New Delhi,India
"Hariprasad, Puttaswamy  Puttaswamy, Hariprasad   Hariprasad, P.",77.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Joshi, Deepak  Joshi, D.",77.0,14.0,"All India Institute of Medical Sciences, New Delhi",New Delhi,India
"Kalyanasundaram, Dinesh  Dinesh Kalyanasundaram, Fifth E.   Kalyanasundaram, D.",77.0,15.0,Indian Institute of Technology Delhi,New Delhi,India
"Mohammed, Saif Khan  Mohammed, S. K.   Mohammed, Saif K.   Khan, Mohammed Saif   Mohammed, Saif",77.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Bedathur, Srikanta J.  Bedathur, Srikanta",76.0,15.0,Indian Institute of Technology Delhi,New Delhi,India
"Kumar, Amit  Kumar, A.   kumar, Amit",76.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Muduli, Pranaba Kishor  Muduli, Pranaba   Muduli, P.   Muduli, Pranaba K.   Muduli, P. K.",76.0,21.0,Indian Institute of Technology Delhi,New Delhi,India
"Mullick, Subhash C.  Mullick, S. C.",76.0,27.0,Indian Institute of Technology Delhi,New Delhi,India
"Pekarik, John J.  Pekarik, John   Pekarik, Jack J.   John, J.   Pekarik, Jack   Pekarik, J. J.   John, John Wellington   Pekarik, J.",76.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Sen, Kushal  Sen, K.",76.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Soni, Ravi Kant  Soni, Ravi K.   Soni, R.   Soni, R. K.",76.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Srivastava, Rajiv K.  Srivastava, Rajiiv K.   Srivastava, Rajiv   Srivastava, Rajiv K.   Srivastava, R. K.",76.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Ahluwalia, Jagdish C.  Ahluwalia, J. C.   AHLUWALIA, J. C.",75.0,28.0,Indian Institute of Technology Delhi,New Delhi,India
"Chatterjee, Niladri  Chatterjee, N.   Chatteerjee, Niladri",75.0,11.0,Indian Institute of Technology Delhi,New Delhi,India
"Darpe, Ashish K.  Kamalakar Darpe, Ashish   Darpe, Ashish   Darpe, A. K.",75.0,23.0,Indian Institute of Technology Delhi,New Delhi,India
"Vivekanandan, Perumal  Perumal, V.   Vivekanandan, P.   Perumal, Vivekanandan",75.0,26.0,Indian Institute of Technology Delhi,New Delhi,India
"Baheti, Vijay K.  Baheti, V.   Baheti, Vijaykumar   Baheti, Vijay   Baheti, V. K.",74.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Chadha, Devi  Chadha, D.",74.0,9.0,Indian Institute of Technology Delhi,New Delhi,India
"Gupta, Sanjay Kumar  Gupta, Sanjay K.   Kumar Gupta, Sanjay   Gupta, S.   Gupta, S. K.",74.0,25.0,Indian Institute of Technology Delhi,New Delhi,India
"Jain, Nidhi",74.0,21.0,Indian Institute of Technology Delhi,New Delhi,India
"Wadhwa, Subhash  Wadhwa, S.",74.0,26.0,Indian Institute of Technology Delhi,New Delhi,India
"Garg, Naveen  Garg, N.   GARG, NAVEEN   Garg, Nitin",73.0,26.0,Indian Institute of Technology Delhi,New Delhi,India
"Singh, Veena  Singh, V.",73.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Kapur, Jagat N.  Kapur, J. N.",72.0,10.0,Indian Institute of Technology Delhi,New Delhi,India
"Sengupta, Amartya  Amartya, Sengupta   Sengupta, A.",72.0,11.0,Indian Institute of Technology Delhi,New Delhi,India
"Alappat, Babu J.  J. Alappat, Babu   Alappat, Babn J.   Alappat, B. J.   Alappat, Babu",71.0,15.0,Indian Institute of Technology Delhi,New Delhi,India
"Gupta, Amit  Gupta, A.   Gua, Amit",71.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Manna, Kaustuv  Manna, K.",71.0,24.0,Indian Institute of Technology Delhi,New Delhi,India
"Patel, Pritesh R.  Patel, Pritesh   Patel, P. R.   Patel, P.",71.0,12.0,Indian Institute of Technology Delhi,New Delhi,India
"Ahammad, Shaikh Ziauddin  Ahammad, Shaikh Z.   Shaikh, Ziauddin A.   Shaikh, Z. A.   Shaikh, Zia A.   Ahammad, Sk Z.   Ahammad, S. Z.   Shaikh, Zia Ahmad   Shaikh, Ziauddin Ahammad   Ahammad, Shaaikh Ziauddin   Ahammad, Sk Ziauddin",70.0,18.0,Indian Institute of Technology Delhi,New Delhi,India
"Banerjee, Subhashis  Banerjee, S.   Banerjee, Subhashish",70.0,16.0,Indian Institute of Technology Delhi,New Delhi,India
"Chand, Subhash  Chand, S.",69.0,25.0,Indian Institute of Technology Delhi,New Delhi,India
"Dutta Roy, Sumantra  Roy, S. Dutta   Dutta, Roy   Roy, Sumantra Dutta",69.0,12.0,Indian Institute of Technology Delhi,New Delhi,India
"Gosain, Ashvani Kumar  Gosain, Ashvani   Gosain, Ashvin   Gosain, Asvani K.   Gosain, A.   Gosain, Ashwin Kumar   Gosain, Ashvin K.   Gosain, Ashvin Kumar   Gosain, Ashvani K.   Gosain, A. K.",69.0,22.0,Indian Institute of Technology Delhi,New Delhi,India
"Jain, Sanjeev Kumar  Jain, S. K.   Jain, Sanjeev   Jain, S.   Jain, Sanjeev K.",69.0,24.0,Indian Institute of Technology Delhi,New Delhi,India
"Sabnani, Krishan K.  Sabnani, Krishnan K.   Sabnani, K. K.   Sabnani, Krishan   Sabnani, Krishnan   Sabnani, K.",69.0,22.0,Indian Institute of Technology Delhi,New Delhi,India
"Sagar, Ambuj D.  Sagar, Ambuj d.   Sagar, A. D.   Sagar, A.   Sagar, Ambuj   Sagar, Ambuj D.   D Sagar, Ambuj",69.0,24.0,Indian Institute of Technology Delhi,New Delhi,India
"Sehgal, H. K.",69.0,16.0,Indian Institute of Technology Delhi,New Delhi,India
"Singh, Neetu  SINGH, N.",69.0,22.0,Indian Institute of Technology Delhi,New Delhi,India
"Chatterjee, Shouri  Chatterjee, S.",68.0,13.0,Indian Institute of Technology Delhi,New Delhi,India
"Dastidar, Manisha Ghosh  Dastidar, M. Ghosh   Dastidar, Manisha G.      Dastidar, M. G.",68.0,22.0,Indian Institute of Technology Delhi,New Delhi,India
"Jha, Sunil  Jha, S.",68.0,20.0,Indian Institute of Technology Delhi,New Delhi,India
"Mehta, C. L.",68.0,22.0,Indian Institute of Technology Delhi,New Delhi,India
"Mishra, Amruta  Amruta, Mishra   Mishra, A.",68.0,20.0,Indian Institute of Technology Delhi,New Delhi,India
"Nakra, Bahadur Chand  Nakra, B. C.",68.0,19.0,Indian Institute of Technology Delhi,New Delhi,India
"Seth, Aaditeshwar  Aaditeshwar, Seth   Seth, A.",68.0,13.0,Indian Institute of Technology Delhi,New Delhi,India
"Upreti, Shailesh  Upreti, S.   Upreti, Sailesh",68.0,26.0,Indian Institute of Technology Delhi,New Delhi,India
"Bagchi, Amitabha  BAGCHI, AMITABHA",67.0,13.0,Indian Institute of Technology Delhi,New Delhi,India
"Ghosh, Sudarsan  Ghosh, S.",67.0,22.0,Indian Institute of Technology Delhi,New Delhi,India
