"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"34 55832614400 (i) on (i)","Singh, Rishi Ranjan  Singh, Rishi R.","18","7","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"35 56555738200 (i) on (i)","Jain, Rahul","17","12","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"36 57189220005 (i) on (i)","Vinod Reddy, I.  Reddy, I. Vinod","17","5","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"37 56925525200 (i) on (i)","Patra, Lakshmi Kanta  Patra, L. K.","16","4","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"38 55367724900 (i) on (i)","Sidhanta, Subhajit","16","4","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"39 57095540700 (i) on (i)","Pramanik, Soumajit","15","7","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"40 57189238793 (i) on (i)","Baswade, Anand M.","14","5","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"41 56006256200 (i) on (i)","Faye, A.  Faye, Anshul   Faye, A.","14","7","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"42 56560315000 (i) on (i)","Immanuel, R. Jose  Immanuel, R. Jose   Immanuel, R. J.","13","8","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"43 57212846642 (i) on (i)","Singh, Anurag","13","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"44 55268119100 (i) on (i)","Duryodhan, V. S.  Duryodhan, V. S.   Duryodhan, Vijay S.","12","8","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"45 57196464445 (i) on (i)","Jindal, Manoj Kumar  Kumar, Jindal Manoj   Jindal, M. K.   Jindal, Manoj","12","4","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"46 57202592382 (i) on (i)","Panda, Sitakanta","12","4","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"47 57200577675 (i) on (i)","Bhale, Pradeepkumar  Bhale, Pradeep","11","3","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"48 56473612300 (i) on (i)","Sreejith, Thazhathe Veetil  Veetil, Sreejith T.   Sreejith, T. V.","11","4","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"49 57203245479 (i) on (i)","Chundakkadan, Radeef","10","4","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"50 57224687078 (i) on (i)","Kumar, Devendra","10","3","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"51 57209100621 (i) on (i)","Sahu, Megha","9","3","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"52 57219332556 (i) on (i)","Samantaray, Manas R.  Samantaray, Manas Ranjan   Samantaray, Manas R.","9","4","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"53 57222958765 (i) on (i)","Dolui, Subrata","8","3","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"54 57214098871 (i) on (i)","Handique, Jishnu  Handique, J.","8","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"55 57219293705 (i) on (i)","Sahu, Tomesh Kumar","8","3","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"56 56075853300 (i) on (i)","Sultana, Asrifa  Sultana, A.","8","4","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"57 57160059200 (i) on (i)","Bhuvad, Sushant Suresh  Bhuvad, Sushant   Bhuvad, Sushant S.","7","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"58 57195064759 (i) on (i)","Bodda, Sivaramarao  Bodda, Sivaramrao","7","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"59 57218596445 (i) on (i)","Karmakar, Banashri","7","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"60 57307586800 (i) on (i)","Kumar, Arun","7","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"61 57204853229 (i) on (i)","Jha, Sonal","6","0","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"62 57191840493 (i) on (i)","Pal, Avijit","6","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"63 57424464900 (i) on (i)","Rani, Sonia","6","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"64 57211563460 (i) on (i)","Lata, Akash  Lata, A.","5","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"65 57223747780 (i) on (i)","Mondal, Arindam","5","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"66 57216459528 (i) on (i)","Rachuri, Sri Pramodh","5","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"67 57224080325 (i) on (i)","Rajput, S. S.  Rajput, S. S.   Rajput, Swati Singh","5","3","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"68 57220515228 (i) on (i)","Rana, Naba Kumar  Rana, Naba K.   Rana, N. K.","5","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"69 57222372916 (i) on (i)","Sao, Yogendra","5","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"70 57217481293 (i) on (i)","Seth, Abhay Deep","5","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"71 57211992058 (i) on (i)","Ali, Suzan K.Subidh  Ali, S. K.Subidh   Ali, Suzan","4","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"72 57196764706 (i) on (i)","Ansari, Ahtisham Ali","4","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"73 57221612642 (i) on (i)","Bhattacharyya, Pramit","4","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"74 57219250929 (i) on (i)","Das, Tanmay","4","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"75 57194222905 (i) on (i)","Duryodhan, Vijay S.  Duryodhan, V. S.","4","4","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"76 57196261000 (i) on (i)","Jacob, Naveen Varghese","4","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"77 57311878200 (i) on (i)","Pradhan, Anubhav","4","0","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"78 57220546161 (i) on (i)","Aikata","3","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"79 57224586982 (i) on (i)","Bhushan, Saksham","3","0","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"80 57209106194 (i) on (i)","Damle, Snigdha","3","3","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"81 57741564400 (i) on (i)","Kumar, Atul L.N.Arun  Kumar, Atul   Kumar, A. L.N.Arun","3","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"82 57219938532 (i) on (i)","Maurya, Poonam","3","0","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"83 57215675480 (i) on (i)","Pal, Rudrashish","3","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"84 57211392505 (i) on (i)","Prabhakaran, Aarya","3","2","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"85 57219589883 (i) on (i)","Sahu, Purushottam","3","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"86 57483312800 (i) on (i)","Baghel, Niranjan Singh","2","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"87 57226340898 (i) on (i)","Bajpai, Devansh","2","0","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"88 57688173000 (i) on (i)","Banerjee, Suchetana","2","0","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"89 56814370300 (i) on (i)","Chakraborty, Thirthankar","2","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"90 57539182200 (i) on (i)","Choudhary, Atul Kumar","2","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"91 57211713129 (i) on (i)","Choudhary, Bhoopendra","2","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
"92 57226834855 (i) on (i)","Ekka, Akansha","2","1","Indian Institute of Technology Bhilai","Raipur","India"
"","View last title","","","",""
"","","","","","",""
