"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"28 8578057300 (i) on (i)","Prashant, Amit  Prashant, A.","61","10","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"29 26644774600 (i) on (i)","Chakraborty, Arup Lal  Chakraborty, Arup L.   Chakraborty, A. L.   Lal Chakraborty, Arup   Chakraborty, A.","59","10","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"30 15820341000 (i) on (i)","Dasgupta, Anirban","59","24","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"31 36786533300 (i) on (i)","Mohapatra, Pranab Kumar  Mohapatra, Pranab   Mohapatra, Pranab K.   Mohapatra, P. K.   MOHAPATRA, P. R.A.N.A.B.","54","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"32 57197710175 (i) on (i)","Saha, Jhuma  Saha, J.","54","8","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"33 26633562900 (i) on (i)","Basu, Sudipta","51","18","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"34 55504350300 (i) on (i)","Bhattacharyya, Arpan  Bhattacharyy, Arpan","51","17","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"35 7102202387 (i) on (i)","Gupta, Iti","51","22","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"36 24829351100 (i) on (i)","Khatua, Saumyakanti","50","17","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"37 35758572200 (i) on (i)","Dixit, Atul  DIxit, Atul   DIXIT, ATUL","49","9","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"38 35110944100 (i) on (i)","Devidas Bhatia, Dhiraj  Bhatia, Dhiraj","48","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"39 57022653300 (i) on (i)","Singh, Mayank","48","6","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"40 7005084689 (i) on (i)","Misra, Gadadhar  Misra, G.   MISRA, GADADHAR","47","12","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"41 6504358330 (i) on (i)","Thiruvenkatam, Vijay  Thiruvenkatam, V.","47","8","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"42 22333638200 (i) on (i)","Agarwal, Tarun Kumar  Agarwal, Tarun K.   Agarwal, T. K.   Agarwal, T.   Agarwal, Tarun","46","12","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"43 9740752500 (i) on (i)","Mallajosyula, Sairam Swaroop  Mallajosyula, Sairam S.   Mallajosyala, Sairam S.","46","19","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"44 56286167700 (i) on (i)","Sarkar, Sudipta","46","14","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"45 55385813600 (i) on (i)","Banerjee, Rupak  Banerjee, R.","45","14","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"46 35572252400 (i) on (i)","Basu, Dhiman  Basu, D.","45","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"47 12139624500 (i) on (i)","Miyapuram, Krishna Prasad  Miyapuram, Krishna P.   Miyapuram, Krishna   Miyapuram, K. P.   Prasad Miyapuram, Krishna","44","8","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"48 8367687200 (i) on (i)","Kanagaraj, Ragavan  Ragavan, K.","43","8","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"49 7005380870 (i) on (i)","Mukhopadhyay, Jyoti  Mukhopadhyay, J.","43","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"50 53980678300 (i) on (i)","Vashista, Vineet  Vashista, V.","43","9","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"51 7801483228 (i) on (i)","Mekie, Joycee","42","5","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"52 24342473800 (i) on (i)","Tyagi, Jagmohan  Tyagi, J.","42","7","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"53 25026741300 (i) on (i)","Bhargav, Atul  Bhargav, A.","41","10","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"54 57194453244 (i) on (i)","Roy, Soumen  Roy, S.","41","17","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"55 15059569000 (i) on (i)","Subramanyam, Malavika Ambale  Subramanyam, Malavika   Subramanyam, Malavika A.","41","18","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"56 15137656700 (i) on (i)","Thareja, Prachi  Thareja, P.","40","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"57 11941043500 (i) on (i)","Dayal, Pratyush","39","14","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"58 55296062900 (i) on (i)","Panda, Emila  Panda, Emlla   Panda, E.","39","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"59 55817552809 (i) on (i)","Chakraborty, Arindam  Chakraborty, Arindham   Chakraborty, A.","38","15","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"60 55570910100 (i) on (i)","Batra, Nipun","37","13","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"61 7102013332 (i) on (i)","Datta, Bhaskar  Datta, Dr Bhaskar   Datta, B.","37","10","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"62 6603124129 (i) on (i)","Jasuja, Kabeer L.  Jasuja, Kabeer   Jasuja, K. L.","37","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"63 6506395581 (i) on (i)","Padhiyar, Nitin U.  Padhiyar, Nitin U.   Padiyar, Nitin U.   Padhiyar, Nitin","35","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"64 57204301849 (i) on (i)","Shekhar, Himanshu  Shekar, Himanshu","35","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"65 34971996000 (i) on (i)","Soppina, Virupakshi  Virupakshi, S.","34","13","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"66 14036925800 (i) on (i)","Das, Bireswar","33","6","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"67 55204651500 (i) on (i)","Ghosh, Uddipta  Ghosh, U.","33","12","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"68 35933544200 (i) on (i)","Kirubakaran, Sivapriya  Kirubakaran, Shivapriya","33","8","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"69 56541130200 (i) on (i)","Lone, Mohsin Yousuf  Lone, Mohsinyousuf   Lone, Mohsin Y.   Lone, Mohsin   Lone, M. Y.","32","12","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"70 22433827000 (i) on (i)","Mishra, Abhijit  Mishra, A.","32","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"71 36609161100 (i) on (i)","Saha, Sarmistha","32","12","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"72 56769799800 (i) on (i)","Nemala, Siva Sankar  Nemala, Sivasankar   Nemala, Siva S.","31","13","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"73 56270520700 (i) on (i)","Swaminathan, Jaichander","31","19","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"74 57224139665 (i) on (i)","Mondal, Biswajit  Mondal, B.","30","18","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"75 23985915100 (i) on (i)","Mutha, Pratik K.  Mutha, P. K.   Mutha, Pratik","30","15","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"76 57190878503 (i) on (i)","Pareek, Vikas  Pareek, V.","30","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"77 56506245500 (i) on (i)","Patel, Vinal","30","10","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"78 57210846401 (i) on (i)","Gautam, Abhay Raj Singh  Gautam, Abhay Raj S.   Gautam, A. R.S.   Gautam, Abhay R.Singh   Gautam, Abhay   Gautam, Abhay R.S.   Gautam, A.","28","12","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"79 7202602245 (i) on (i)","Joshi, Mohan C.  Joshi, M. C.   Joshi, M.   Joshi, Mohan","28","7","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"80 57214766764 (i) on (i)","Siva Subramanian, Srikrishnan  Subramanian, Srikrishnan Siva   Srikrishnan, S.   Subramanian, Srikrishna Siva   Srikrishnan, Siva Subramanian   Siva Subramanian, S.","28","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"81 57210550842 (i) on (i)","Ghosh, Pradipta  Ghosh, P.","27","10","Osterreichische Akademie Der Wissenschaften","Vienna","Austria"
"","View last title","","","",""
"","","","","","",""
"82 55138213500 (i) on (i)","Paul, Tufan  Paul, T.","27","9","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"83 57015130000 (i) on (i)","Bhatia, Udit","26","7","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"84 8677250300 (i) on (i)","Dey, Krishna Kanti  Dey, Krishna K.","26","17","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"85 9733701500 (i) on (i)","Singh, Umashankar  Singh, U.","26","10","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"86 57207400924 (i) on (i)","Gupta, Sharad","25","10","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"87 57193336883 (i) on (i)","Jana, Achintya","25","9","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"88 23979534500 (i) on (i)","Agrawal, Anuj","24","6","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"89 57191339154 (i) on (i)","Kulkarni, Sameer G.  Kulkarni, Sameer","24","8","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"90 36570758100 (i) on (i)","Nellaiappan, Subramanian","24","11","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
"91 57733230100 (i) on (i)","Panda, Soumyashree S.  Panda, Soumya R.","24","9","Indian Institute of Technology Gandhinagar","Gandhinagar","India"
"","View last title","","","",""
"","","","","","",""
