"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"201 14015058600 (i) on (i)","Chakraborty, Arunasis  Chakraborty, A.","50","10","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"202 14825443700 (i) on (i)","Karfa, Chandan  Karfa, C.","50","8","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"203 14527208100 (i) on (i)","Kaushik, Hemant B.  Kaushik, H. B.   Kaushik, Hemant B.","50","14","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"204 36828280800 (i) on (i)","Mandal, Partha Sarathi  Mandai, Partha Sarathi   Mandal, Partha   Mandal, Partha S.","50","8","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"205 57207886366 (i) on (i)","Mishra, Anil Kumar  Kumar Mishra, Anil   Mishra, A. K.   Kumar, Mishra Anil   Mishra, Anil K.","50","15","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"206 56955722700 (i) on (i)","Monisha, Javadi","50","19","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"207 28767937700 (i) on (i)","Nath, Shabari","50","7","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"208 8571573300 (i) on (i)","Ramakrishnan, Vibin","50","13","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"209 26424440700 (i) on (i)","Shaik, Rafi Ahamed  Shaik, Rafiahamed","50","13","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
"210 57203808640 (i) on (i)","Singh, Deepika  Singh, D.","50","16","Indian Institute of Technology Guwahati","Guwahati","India"
"","View last title","","","",""
"","","","","","",""
