"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"401 57203748038 (i) on (i)","Eswaramoorthy, Sindhuja D.","4","4","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"402 57202994296 (i) on (i)","Gaikwad, Mayur  Gaikwad, Mayur M.","7","4","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"403 56648121900 (i) on (i)","Ganga Prasad, Kotagiri  Prasad, K. Ganga   Ganga Prasad, K.   Gangaprasad, K.","7","4","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"404 57200105911 (i) on (i)","Gaur, Himanshu","4","4","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"405 57195370676 (i) on (i)","Gaydhane, Mrunalini K.  Gaydhane, Mrunalini   Gaydhane, Mrunalini K.","5","4","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"406 57204459599 (i) on (i)","Giri, Bishnubasu","13","4","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"407 55806471500 (i) on (i)","Gnanaprakash, Kanagaraj  Gnanaprakash, K.","13","4","Seoul National University","Seoul","South Korea"
"","View last title","","","",""
"","","","","","",""
"408 56347350700 (i) on (i)","Gupta, N.  Gupta, Nidhi","10","4","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
"409 57200159341 (i) on (i)","Jadhav, Akshay Ramesh","6","4","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"410 56647796900 (i) on (i)","Jadhav, Pranit N.  Jadhav, Pranit   Jadhav, P. N.","5","4","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"411 36903725300 (i) on (i)","Janardhan, V.","4","4","Indian Institute of Technology Hyderabad","Hyderabad","India"
"","View last title","","","",""
"","","","","","",""
"412 57211265009 (i) on (i)","Jena, Tapan Kumar","6","4","Indian Institute of Technology Hyderabad","Kandi","India"
"","View last title","","","",""
"","","","","","",""
