"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"1001 57203372011 (i) on (i)","Chakraborty, Atasi  Chakraborty, A.","11","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1002 55415100800 (i) on (i)","Chandra, Peeyush  Chandra, Peeuysh   Chandra, P.   CHANDRA, P.","11","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1003 24583055800 (i) on (i)","Chaturvedi, G. C.","7","5","Indian Institute of Technology, Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1004 57189225083 (i) on (i)","Chinnappan, Arun Kumar  Chinnappan, A. K.   Chinnappan, Arun K.","14","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1005 57198392519 (i) on (i)","Choudhury, Sumit","6","5","Indian Institute of Technology, Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1006 54585071400 (i) on (i)","Cole-Jeffrey, Colleen T.","6","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1007 57195064488 (i) on (i)","Dahiya, Pardeep","8","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1008 23038163400 (i) on (i)","Dattatreya Sastry, M.","7","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1009 57212986558 (i) on (i)","De, Sudipta  De, S.","9","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1010 57192831707 (i) on (i)","Desai, Aditya  Desai, A.","6","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1011 36991986000 (i) on (i)","Deshpande, Tushar D.  Deshpande, T. D.   Deshpande, Tushar   Deshpande, Tushar D.","12","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1012 24592770600 (i) on (i)","Deshpande, V. K.","7","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1013 57193605331 (i) on (i)","Dev, Raghav","7","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1014 8951286400 (i) on (i)","Dixit, Awantika","5","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1015 16068159500 (i) on (i)","Dixit, Shalini  Dixit, S.","8","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1016 11239609100 (i) on (i)","Dixit, Shikha","17","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1017 56236452400 (i) on (i)","Dubey, Anamika  Dubey, A.","12","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1018 57225441132 (i) on (i)","Duggal, Shivali","5","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1019 36087373100 (i) on (i)","Dutta Banik, Sindrila  Dutta Banik, S.","7","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1020 57225342199 (i) on (i)","Dwivedi, Anubhav Kumar  Dwivedi, A. K.   Dwivedi, Anubhav K.   Dwivedi, Anubhav","8","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1021 57197900680 (i) on (i)","Dwivedi, Ashish Kr  Dwivedi, Ashish   Dwivedi, Ashish K.","6","5","Indian Institute of Technology, Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1022 56449170500 (i) on (i)","Furquan, Mohd  Furquan, M.","9","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1023 55181209700 (i) on (i)","Gandhi, Shikha","5","5","Indian Institute of Technology, Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1024 57195933777 (i) on (i)","Ganguli, Kasturi","6","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1025 56249759400 (i) on (i)","Garg, Anita  Garg, A.","6","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1026 57214003678 (i) on (i)","Garg, Nidhi","6","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1027 57087955300 (i) on (i)","Gaur, Abhishek","5","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1028 57210650789 (i) on (i)","Geetha, Sreenath Jayakumar  Sreenath, J. G.","11","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1029 55262172900 (i) on (i)","Ghosal, Dibakar  Ghosal, D.","25","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1030 57192808752 (i) on (i)","Ghosh, Kunal  Ghosh, K.","9","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1031 57195720932 (i) on (i)","Goswami, Gaurav","6","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
"1032 56568118400 (i) on (i)","Govind, Greeshmaja","15","5","Indian Institute of Technology Kanpur","Kanpur","India"
"","View last title","","","",""
"","","","","","",""
