"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"835 7801673060 (i) on (i)","Ramanujachari, V.","22","5","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"836 50262958000 (i) on (i)","Sankaran, Ganesh Chennimalai  Sankaran, Ganesh   Sankaran, Ganesh C.","22","6","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"837 55455895800 (i) on (i)","Sarkar, Soumen  SARKAR, SOUMEN   Sarkar, S.","22","5","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"838 57192157617 (i) on (i)","Singh, Rajesh K.  Singh, Rajesh   Singh, R. K.","22","9","Faculty of Mathematics","Cambridge","United Kingdom"
"","View last title","","","",""
"","","","","","",""
"839 36769325200 (i) on (i)","Sivasakthikumaran, Ramakrishnan  Sivasakthikumaran, R.","22","8","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"840 56800985500 (i) on (i)","Srikrishnarka, Pillalamarri  Srikrishnarka, P.","22","7","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"841 7006788398 (i) on (i)","Sriram, P.  Sriram, P.","22","9","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"842 14047540300 (i) on (i)","Sudarsanam, Nandan","22","4","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
"843 7201566670 (i) on (i)","Tao, Luoyi  Tao, L.","22","9","Indian Institute of Technology Madras","Chennai","India"
"","View last title","","","",""
"","","","","","",""
