"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"","View last title","","","",""
"","","","","","",""
"29 14020317400 (i) on (i)","Sahu, Satyajit  Sahu, S.","67","14","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"30 56640315300 (i) on (i)","Shah, Suril V.  Shah, Suril   Shah, Suril V.   Shah, S. V.   Shah, Suril Vijaykumar","66","11","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"31 53866052200 (i) on (i)","Agarwal, Harshit  Agarwal, H.","65","16","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"32 6701316859 (i) on (i)","Vadera, Sampat Raj  Vadera, S. R.   Vadera, Sampat R.","65","27","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"33 56039358500 (i) on (i)","Yadav, Sandeep Kumar  Yadav, Sandeep K.   Yadav, Sandeep   Yadav, S. K.","61","14","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"34 8641751700 (i) on (i)","Alok, Ashutosh Kumar  Kumar Alok, Ashutosh   Alok, A.","59","21","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"35 12796697600 (i) on (i)","Sanadhya, S. K.  Sanadhya, Somitra Kumar   Sanadhya, S. K.   Sanadhya, Somitra   Sanadhya, Somitra K.","58","11","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"36 57189997690 (i) on (i)","Gupta, Ritu","55","20","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"37 56457699300 (i) on (i)","Aggarwal, Manish  Agarwal, Manish   Aggarwal, M.","53","12","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"38 36573041600 (i) on (i)","Paul, Sushmita","50","12","Indian Institute of Technology Jodhpur","Jodhpur","India"
"","View last title","","","",""
"","","","","","",""
"39 35311349100 (i) on (i)","Narwaria, Manish  Narwaria, M.","45","17","Indian Institute of Technology Jodhpur","Jodhpur","India"
