"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"401 55295863000 (i) on (i)","Khushu-Lahiri, Rajyashree","4","2","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"402 57208600820 (i) on (i)","Kiran, Abhimanyu","4","2","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"403 57226638585 (i) on (i)","Kumar, Manoj","4","2","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"404 57225851785 (i) on (i)","Kumar, Manoj M.Sree  Kumar, Manoj   Kumar, M. M.Sree","4","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"405 57209875500 (i) on (i)","Kumar, Rahul Sathish  Kumar, Rahul      Kumar, R. Sathish   Kumar, R.","4","3","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"406 57261718400 (i) on (i)","Kumar, Sundeep","4","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"407 57688870700 (i) on (i)","Kumar, Vishal","4","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"408 57204624975 (i) on (i)","Kushwaha, Apoorv","4","2","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"409 57208347346 (i) on (i)","Maheshwari, Shobhit","4","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"410 23489603500 (i) on (i)","Manigandan, Sabapathy 			    Manigandan, S.","4","3","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"411 57201526407 (i) on (i)","Muppala, Purnabhishek","4","2","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"412 57222292943 (i) on (i)","Nair, Rahul  Nair, R.","4","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"413 57220105720 (i) on (i)","Paul, Biprajit","4","2","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"414 57201704479 (i) on (i)","Phaye, Sai Samarth R.","4","3","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"415 57218386289 (i) on (i)","Pratap, Ayush","4","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"416 57206946692 (i) on (i)","Roy, Samir Chandra","4","2","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
"417 57213315366 (i) on (i)","Roy, Soumyajit","4","1","Indian Institute of Technology Ropar","Rupnagar","India"
"","View last title","","","",""
"","","","","","",""
