"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"842 57723863700 (i) on (i)","Singh, Sukriti","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"843 57197255871 (i) on (i)","Singh, Yogendra","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"844 57224167842 (i) on (i)","Sonagara, H.","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"845 57189234882 (i) on (i)","Sonawane, Ajinkya J.  Sonawane, Ajinkya","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"846 57206834466 (i) on (i)","Srinivasan, Srikaanth","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"847 57482517600 (i) on (i)","Sunny, Jibin V.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"848 57225203958 (i) on (i)","Sutradhar, Jayanta","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"849 57567671400 (i) on (i)","Tamuly, Reeturaj","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"850 57221304365 (i) on (i)","Tanti, Harsha Avinash  Tanti, Harsha A.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"851 57568280200 (i) on (i)","Thakur, Deepali  Thakur, D.","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"852 57199185590 (i) on (i)","Thirugnanasambandam, Venkatesh","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"853 57203224186 (i) on (i)","Tidke, Surbhi","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"854 56465387300 (i) on (i)","Tiwari, Ayush","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"855 57555645900 (i) on (i)","Tiwari, Bhavya","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"856 57238526900 (i) on (i)","Tiwari, Himanshu","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"857 57886822500 (i) on (i)","Tiwari, Manish Kumar","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"858 57208061195 (i) on (i)","Tiwari, Namrata","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"859 57222962244 (i) on (i)","Tiwary, Gyan Prakash  Tiwary, Gyan P.","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"860 57226343139 (i) on (i)","Tomar, Krishna P.  Tomar, K. P.   Tomar, Krishna","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"861 57653815100 (i) on (i)","Tripathi, Abhinav","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"862 57226183758 (i) on (i)","Umre, Priyanka","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"863 57215593715 (i) on (i)","Verma, Tarun Prakash  Verma, Tarun","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"864 57704393300 (i) on (i)","Vyas, Tanmay","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"865 57207859692 (i) on (i)","Warshi, Kamal","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"866 56973361700 (i) on (i)","Yadav, Ashutosh Kumar  Yadav, A.","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"867 57608253900 (i) on (i)","Yadav, Deepak","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"868 57611068900 (i) on (i)","Yadav, Pooja","2","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"869 56957671700 (i) on (i)","Yadav, Radhakishan","2","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"870 57224069329 (i) on (i)","Yadav, Vivek Kumar","2","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"871 57226419549 (i) on (i)","Aalam, Umar","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"872 57205630487 (i) on (i)","Aaryashrec","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"873 57217014381 (i) on (i)","Abdullah, Shekh","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"874 57211020966 (i) on (i)","Achyutha, Kulkarni","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"875 57456657500 (i) on (i)","Agarwal, Archit","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"876 56567409900 (i) on (i)","Agarwal, Manish K.","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"877 57199363725 (i) on (i)","Agarwal, Rahul","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"878 57879911100 (i) on (i)","Agarwal, Vandan","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"879 57203506963 (i) on (i)","Agarwalla, Vedaanta","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"880 57226709947 (i) on (i)","Agrawal, Ity","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"881 57225126084 (i) on (i)","Agrawal, Nikhil","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"882 57213511706 (i) on (i)","Ahmad, S. K.Safique","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"883 57214219753 (i) on (i)","Ahmad, Shadab Ali","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"884 57481209900 (i) on (i)","Ahmada, Khursheed","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"885 57812791000 (i) on (i)","Ahmed, Nemath","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"886 57758595700 (i) on (i)","Ahuja, Khushboo","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"887 57216223809 (i) on (i)","Ajay, C.","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"888 57224197321 (i) on (i)","Amarnath Jonniya, Nisha","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"889 57208179796 (i) on (i)","Anadkat, Nisheka","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"890 57213950514 (i) on (i)","Anand, K.","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"891 57224450995 (i) on (i)","Anand Palani, Iyamperumal","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"892 57193832422 (i) on (i)","AnilKumar, E.","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"893 57160521200 (i) on (i)","Anirudh, V. R.","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"894 57216157659 (i) on (i)","Anjali, T. C.","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"895 57476398000 (i) on (i)","Anshul, Aditya","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"896 57221124504 (i) on (i)","Anshul, Ashutosh","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"897 56996889700 (i) on (i)","Arora, Deepali","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"898 57219636817 (i) on (i)","Arora, Hina Manoj","1","1","Stony Brook University","Stony Brook","United States"
"","View last title","","","",""
"","","","","","",""
"899 24334345600 (i) on (i)","Arora, Meenakshi","1","1","University of Leeds","Leeds","United Kingdom"
"","View last title","","","",""
"","","","","","",""
"900 57191243180 (i) on (i)","Babel, Darshil","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"901 57204573677 (i) on (i)","Bagade, Vinay","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"902 57194046042 (i) on (i)","Bajpayee, Gaurav","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"903 57523989700 (i) on (i)","Balaji, Ramesh  Balaji, R. Ramesh","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"904 57220103252 (i) on (i)","Banerjee, Agnibha","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"905 57203371753 (i) on (i)","Banerjee, Joyanta","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"906 57701175300 (i) on (i)","Banoth, Laxmi","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"907 57203507885 (i) on (i)","Bansal, Raman","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"908 57489026400 (i) on (i)","Bansal, Sparsh","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"909 57200162039 (i) on (i)","Bapat, Akshay","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"910 57216927458 (i) on (i)","Behor, Ankur","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"911 56986478300 (i) on (i)","Bency, Mayur Joseph","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"912 57720060200 (i) on (i)","Bhalerao, Shailesh Vitthalrao","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"913 56781481600 (i) on (i)","Bharilla, Neha","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"914 57212571986 (i) on (i)","Bhartiy, Vishal","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"915 57795232200 (i) on (i)","Bhat, Manasa","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"916 57734687500 (i) on (i)","Bhatnagar, Varun","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"917 57762580700 (i) on (i)","Bhattacharjee, A.","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"918 57215925269 (i) on (i)","Bhattacharya, D.","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"919 57191499396 (i) on (i)","Bhattacharya, Trambak","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"920 57701649700 (i) on (i)","Bhawale, Rajesh T.","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"921 57221113879 (i) on (i)","Bhowmik, Sourav","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"922 57214230189 (i) on (i)","Bhoyar, Jitesh V.","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"923 57479966900 (i) on (i)","Bhupendra","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"924 57841712900 (i) on (i)","Bilas Pachori, Ram","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"925 57217158396 (i) on (i)","Biswas, Subhankar","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"926 57262233300 (i) on (i)","Boddu, Venkata Rami Reddy","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"927 57208569319 (i) on (i)","Bommakanti, Chaitanya Krishna","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"928 57023652200 (i) on (i)","Borah, Rupnayan","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"929 57224760174 (i) on (i)","Chakraborty, Amrita","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"930 57217131463 (i) on (i)","Chakraborty, Dr Anjan","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"931 57680281100 (i) on (i)","Chakraborty, Sudip","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"932 57208861260 (i) on (i)","Chakraborty, Suvamit","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"933 57224422560 (i) on (i)","Chandan, K.","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"934 57654449800 (i) on (i)","Chandra, Abhay","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"935 57209583158 (i) on (i)","Chandra, N. Prajwal","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"936 57203499248 (i) on (i)","Chandra, Pratishtha","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"937 57880714800 (i) on (i)","Chandra, Sarikonda Hemanth","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"938 57201754019 (i) on (i)","Chandra, Satish","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"939 57804739100 (i) on (i)","Chatterjee, Akash","1","0","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"940 57218540919 (i) on (i)","Chatterjee, Sayantani","1","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
