"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"401 57193344919 (i) on (i)","Sarma, Daisy","8","7","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"402 57200516295 (i) on (i)","Sengupta, Sagnik","8","4","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"403 56893136400 (i) on (i)","Singh, Captain R.  Singh, Captain R.","8","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"404 57203223058 (i) on (i)","Thakur, Mahendra Singh  Thakur, Mahendra S.","8","3","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"405 55251924200 (i) on (i)","Thakur, Raina  Thakur, Rain","8","7","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"406 57203499626 (i) on (i)","Tiwari, Deeksha","8","3","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"407 57201881566 (i) on (i)","Agrawal, Suchitra","7","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"408 57215971732 (i) on (i)","Althaf, A.  Azeez, Althaf","7","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"409 57221414534 (i) on (i)","Arya, Pradyumn Kumar  Arya, Pradyumn K.","7","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"410 57209749790 (i) on (i)","Ayyagari, Deepthi","7","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"411 57221050132 (i) on (i)","Babu, Prem","7","1","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"412 57215575418 (i) on (i)","Baral, Budhadev","7","5","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"413 57222252222 (i) on (i)","Bhardwaj, Aditya","7","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"414 55387094500 (i) on (i)","Bhattacharya, Tamalika","7","6","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"415 57210197312 (i) on (i)","Chaudhari, Vasudev D.  Chaudhari, V. D.   Chaudhari, Vasudev D.","7","3","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"416 57704512700 (i) on (i)","Gupta, Ankur Kumar  Gupta, A. K.   Gupta, A.","7","5","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"417 57201087494 (i) on (i)","Gupta, Minal","7","3","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"418 57199743174 (i) on (i)","Jain, Prateek","7","4","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"419 56720890200 (i) on (i)","Jaiswal, Ankit","7","4","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"420 57219690634 (i) on (i)","Jena, Milan Kumar  Jena, M.","7","3","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"421 57220158270 (i) on (i)","Jha, Preeti","7","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"422 57193518268 (i) on (i)","Jindal, Shweta","7","4","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"423 57728508800 (i) on (i)","Kanwade, Archana R.  Kanwade, Archana","7","3","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"424 57225176414 (i) on (i)","Kaushik, Anshul","7","2","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
"425 57211471450 (i) on (i)","Khan, Faizal","7","5","Indian Institute of Technology Indore","Indore","India"
"","View last title","","","",""
"","","","","","",""
