"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"2801 37085286800 (i) on (i)","Kumar Sahoo, Dipak","5","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2802 57209256535 (i) on (i)","Kumari, Anupama","5","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2803 57193908001 (i) on (i)","Kumari, Preety  Kumari, P.","5","4","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2804 57201597259 (i) on (i)","Kundu, Aniket","5","4","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2805 57217196567 (i) on (i)","Legesse, Fisseha","5","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2806 57193823583 (i) on (i)","Mahagaonkar, Anirudha V.  Mahagaonkar, Anirudha   Mahagaonkar, A.","5","3","Indian Institute of Remote Sensing","Dehradun","India"
"","View last title","","","",""
"","","","","","",""
"2807 18133889000 (i) on (i)","Mahambre, Shruti P.  Mahambre, Shruti   Maharnbre, Shruti P.","5","4","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2808 7103330568 (i) on (i)","Majumder, Partha Sarathi","5","5","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2809 56581868000 (i) on (i)","Makwana, Nikitabahen N.  Makwana, N. N.   Makwana, Nikitabahen   Makwana, Nikita   Makwana, Nikitabahen N.","5","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2810 57190226743 (i) on (i)","Makwana, Pinaac  Makwana, P.","5","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2811 56149153800 (i) on (i)","Mali, Mahendra","5","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2812 6508119547 (i) on (i)","Malleswararao, Y. S.N.","5","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2813 55891440000 (i) on (i)","Mallik, Galib Rahaman  Mallik, Galib R.","5","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2814 57194593771 (i) on (i)","Malushte, Malhar Dilip  Malushte, Malhar","5","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2815 57209609815 (i) on (i)","Mandia, Anup Kumar","5","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2816 7004506742 (i) on (i)","Marathe, G. T.","5","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2817 57216613799 (i) on (i)","Marbaniang, Allan Lambor  Marbaniang, Allan L.","5","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2818 57199259357 (i) on (i)","Maurya, Rajan","5","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2819 57217849073 (i) on (i)","Maurya, Shambhu Nath  Nath Maurya, Shambhu","5","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2820 57212427528 (i) on (i)","Mehta, Rupesh","5","3","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2821 56326772400 (i) on (i)","Mehta, S. I.","5","1","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2822 6508179409 (i) on (i)","Mesta, C. K.","5","4","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2823 57201078774 (i) on (i)","Mishra, Biswajit","5","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2824 7102552551 (i) on (i)","Misra, B. D.","5","4","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2825 55953901600 (i) on (i)","Modak, Arnab","5","5","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2826 55360097500 (i) on (i)","Mohite, Kishor","5","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2827 57217108410 (i) on (i)","Mohla, Satyam","5","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2828 57210708292 (i) on (i)","Mondal, Pravakar","5","5","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2829 57200912230 (i) on (i)","Mondal, Sudeshna","5","4","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2830 57194018224 (i) on (i)","Moorthi, P. V.Ponambala  Moorthi, P. V.P.   Moorthi, P. V.Ponambala","5","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2831 55790949600 (i) on (i)","More, Prachi Kadam  More, Prachi","5","4","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2832 57209257595 (i) on (i)","Mortagi, Mohamed  Mortagi, M.","5","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2833 57209616212 (i) on (i)","Motwani, Prashant  Motwani, P.","5","3","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2834 57214311661 (i) on (i)","Mukherjee, Amrita  Mukherjee, A.","5","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2835 57219631971 (i) on (i)","Mukherjee, Indrani  Mukherjee, Imankalyan","5","1","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2836 57216216879 (i) on (i)","Mukherjee, Partho","5","2","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2837 57196807249 (i) on (i)","Mukhopadhyay, Anindita  Mukhopadhyay, A.","5","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2838 27467585500 (i) on (i)","Mulki, Swetha V.  Mulki, S. V.   Mulki, S.   Mulki, Swetha","5","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2839 6508145628 (i) on (i)","Mulye, R. R.  Mulye, R.R.","5","3","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2840 6507629517 (i) on (i)","Munkir Hossain, Md","5","5","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"2841 6701641313 (i) on (i)","Munshi, U.","5","2","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
