"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"","View last title","","","",""
"","","","","","",""
"32 37561278500 (i) on (i)","George, Clint P.  George, Clint P.","10","5","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"33 57190074701 (i) on (i)","Padmanabhan, Divya","10","3","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"34 57151060400 (i) on (i)","Rajamohan, Neelakandan  Rajmohan, Neelakandan","10","3","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"35 55533715100 (i) on (i)","Shakthi Prasad, D.  Shakthi Prasad, D.   Prasad D, Shakthi   Prasad, Shakthi D.","10","6","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"36 55632889800 (i) on (i)","Trivedi, Saurabh","10","3","Indian Statistical Institute North-East Centre","Punioni Solmara, Tezpur","India"
"","View last title","","","",""
"","","","","","",""
"37 55303112500 (i) on (i)","Bajpai, Saumya  Bajpai, S.","9","7","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"38 27067472200 (i) on (i)","Bhateja, Ashish","9","4","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"39 55336443300 (i) on (i)","Korwar, Arpita","9","5","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"40 56711821400 (i) on (i)","Sudhakar, Y.","9","5","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"41 57195333464 (i) on (i)","Balakrishnan, Sreenath","8","3","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"42 56966674000 (i) on (i)","Parsad, Shiv  PARSAD, SHIV","8","3","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"43 57684233300 (i) on (i)","Patil, Suvarna Abhijit  Patil, Suvarna","8","2","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
"44 56303060900 (i) on (i)","Paul, Sunil","8","3","Indian Institute of Technology Goa","Ponda","India"
"","View last title","","","",""
"","","","","","",""
