"Result Number","Author","Documents","h-index          Author metrics Scopus is adding an array of metrics for researchers. As an initial step, the h-index has been added.  The h-graph is one way of displaying and comparing the productivity and impact of published work of scholars. It should only be used together with a mix of quantitative and qualitative metrics.  More metrics will be added in the course of the year.","Affiliation","City","Country/Territory"
"601 57190582088 (i) on (i)","Kushwaha, Aniruddha Singh  Kushwaha, Aniruddha   Kushwaha, Anirudha   Kushwaha, Annirudha","32","6","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"602 6602805293 (i) on (i)","Limaye, Balmohan V.  Limaye, B. V.   Limaye, B.   Limaye, Balmohan","32","6","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"603 7003837954 (i) on (i)","Padmakumar, Raghavakaimal  Padmakumar, R.","32","19","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"604 55391121800 (i) on (i)","Panda, Biswabandan","32","6","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"605 6701478255 (i) on (i)","Panwar, Ajay Singh  Panwar, A. S.   Panwar, Ajay S.","32","10","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"606 56592993400 (i) on (i)","Punetha, Deepak","32","8","Punjab Engineering College (Deemed to be University)","Chandigarh","India"
"","View last title","","","",""
"","","","","","",""
"607 55330423500 (i) on (i)","Punjabi, Nirmal  Punjabi, N.   Punjabi, Nirmal Suresh","32","11","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"608 56470593200 (i) on (i)","Seshu, P.","32","10","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"609 57693220800 (i) on (i)","Singh, Balwant P.  Singh, Balwant   Singh, B. P.","32","9","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"610 56414678100 (i) on (i)","Somu, Nivethitha  Nivethitha, Somu   Nivethitha, S.   Nivethitha, S. S.","32","13","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"611 36629361700 (i) on (i)","Sudhakar, K.","32","9","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"612 6602980349 (i) on (i)","Zele, Rajesh H.  Zele, R. H.      Zele, Rajesh","32","8","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"613 9336090800 (i) on (i)","Bhaumik, Prasenjit","31","16","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"614 56241348500 (i) on (i)","Kar, Sandip  Kar, S.","31","13","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"615 57202477925 (i) on (i)","Kumar, Deepak Vijay Ravi  Kumar, Deepak   Kumar, D. Vijay   Kumar, D.   Kumar, D. V.Ravi","31","8","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"616 23970715000 (i) on (i)","Kuppuswamy, Subramaniam  Kuppuswamy, S.","31","21","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"617 7004812358 (i) on (i)","Phadke, Madhav S.  Phadke, Madhaw S.   Phadke, Madhav   Phadke, M. S.","31","10","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"618 56785368500 (i) on (i)","Pillai, Mamatha M.  Pillai, Mamatha Muraleedharan   Pillai, Mamatha M.","31","13","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"619 23980945700 (i) on (i)","Rangaraj, Narayan  Rangaraj, Naravan  						    Rangaraj, N.","31","10","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"620 7404474628 (i) on (i)","Rao, Anand B.  Rao, A. B.","31","13","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"621 55445369500 (i) on (i)","Ray, Gaur Gopal  Ray, Gaur   Ray, G. G.   Ray, Gaur G.","31","6","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"622 23568675700 (i) on (i)","Seethamraju, Srinivas  Seethamraju, S.   Srinivas, S.   Srinivas, Seethamraju","31","10","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"623 7801597837 (i) on (i)","Sunthar, P.  Sunthar, P.   Sunthar, Papanasamoorthy","31","13","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"624 15045884100 (i) on (i)","Vutukuru, Mythili","31","12","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"625 44861045300 (i) on (i)","Bose, Manaswita  Bose, M.","30","11","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"626 6507804523 (i) on (i)","Chandrasekhar, Enamundram  Chandrasekhar, E.","30","8","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"627 7402020359 (i) on (i)","Garg, Amar C.  Garg, Amar   Garg, A.   Garg, A. C.","30","11","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"628 23060614100 (i) on (i)","Khedker, Uday P.  Khedker, Uday","30","10","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"629 7201509723 (i) on (i)","Kulkarni, Rekha P.  Kulkarni, R. P.   Kulkarni, Rekha","30","9","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"630 8724068100 (i) on (i)","Nandi, Amitabha  Nandi, A.","30","13","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"631 47962622600 (i) on (i)","Picardo, Jason Ryan  Picardo, Jason R.   Picardo, J. R.","30","8","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"632 6601985056 (i) on (i)","Sasidhar, Yellamraju U.  SASIDHAR, Y. U.   Sasidhar, Y. U.","30","8","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"633 17347131500 (i) on (i)","Tayalia, Prakriti  Tayalia, P.","30","13","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"634 6507833361 (i) on (i)","Vijayakumaran, Saravanan","30","11","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"635 7004710293 (i) on (i)","Bapat, Shridhar L.  Bapat, S. L.   Bapat, Shridhar","29","8","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"636 56331194200 (i) on (i)","Baranwal, Mayank","29","6","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"637 7005570348 (i) on (i)","Deodhar, Kodand Dinkar  Deodhar, Kodand Dinakar   Deodhar, Kodand   Deodhar, K. D.   Deodhar, Kodand D.","29","9","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"638 16318803200 (i) on (i)","Gadgil, Hrishikesh P.  Gadgil, H. P.   Gadgil, Hrishikesh","29","10","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"639 6506783556 (i) on (i)","Gajjar, Gopal R.  Gajjar, Gopal   Gajjar, G. R.","29","7","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"640 57222998186 (i) on (i)","Kumar, Ajit","29","9","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"641 6602914862 (i) on (i)","Lakkad, S. C.  Lakkad, Subhash C.   Lakkad, S. C.   Lakkad, Subhash Chandra","29","11","Indian Institute of Technology, Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
"642 56084811100 (i) on (i)","Marathe, A. G.","29","8","Indian Institute of Technology Bombay","Mumbai","India"
"","View last title","","","",""
"","","","","","",""
