Author,Documents,h-index,Affiliation,City,Country/Territory
"Agarwal, Nikunj",5.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Ali, Salman",5.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Bhaskaran, Suku",5.0,5.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Chakrabarty, Jimut Bahan",5.0,3.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Dhal, Manoranjan  Dhal, M.",5.0,2.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Dhayanithy, Deepak",5.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Eapen, Leena Mary",5.0,3.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Gopinath, Saji",5.0,4.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Gupta, Roopak Kumar  Gupta, Roopak K.   Kumar Gupta, Roopak   Gupta, Roopak",5.0,2.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Kuntluru, Sudershan",5.0,3.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Lalji, Chitwan",5.0,2.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Anand, Payal",4.0,4.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Das, Anupam",4.0,3.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Deva Prasad, M.",4.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Krishna, Ben  Krishna, M. U.Ben",4.0,2.0,Indian Institute of Management Kozhikode,Kozhikode,India
"KS, Nivedhitha  Nivedhitha, K. S.",4.0,2.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Mahapatra, Monalisa",4.0,3.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Mahasuar, Kiran",4.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Mohapatra, Siddharth",4.0,2.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Ramachandran, N.  Ramachnadran, N.",4.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Ramachandran, Rajani",4.0,2.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Srinivasan, Shiva Kumar",4.0,2.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Ansari, Salamah  Salamah, Ansari",3.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Bhanja, Nivedita",3.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Kalro, A. H.",3.0,3.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Krishnan, Ramesh",3.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Kumar, Sudarshan",3.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
"Kundu, Soumyadeep",3.0,1.0,Indian Institute of Management Kozhikode,Kozhikode,India
